ID              SYMBOL       
ENSG00000141293 SKAP1        
ENSG00000141425 RPRD1A       
ENSG00000141503 MINK1        
ENSG00000141506 PIK3R5       
ENSG00000141551 CSNK1D       
ENSG00000141560 FN3KRP       
ENSG00000141639 MAPK4        
ENSG00000141720 PIP4K2B      
ENSG00000141736 ERBB2        
ENSG00000141959 PFKL         
ENSG00000141977 CIB3         
ENSG00000142149 HUNK         
ENSG00000142178 SIK1         
ENSG00000142186 SCYL1        
ENSG00000142208 AKT1         
ENSG00000142235 LMTK3        
ENSG00000142627 EPHA2        
ENSG00000142675 CNKSR1       
ENSG00000142731 PLK4         
ENSG00000142733 MAP3K6       
ENSG00000142875 PRKACB       
ENSG00000143156 NME7         
ENSG00000143179 UCK2         
ENSG00000143322 ABL2         
ENSG00000143393 PI4KB        
ENSG00000143398 PIP5K1A      
ENSG00000143466 IKBKE        
ENSG00000143479 DYRK3        
ENSG00000143507 DUSP10       
ENSG00000143590 EFNA3        
ENSG00000143627 PKLR         
ENSG00000143674 KIAA1804     
ENSG00000143772 ITPKB        
ENSG00000143774 GUK1         
ENSG00000143776 CDC42BPA     
ENSG00000143845 ETNK2        
ENSG00000143933 CALM1        
ENSG00000143933 CALM2        
ENSG00000143933 CALM3        
ENSG00000144034 TPRKB        
ENSG00000144589 STK11IP      
ENSG00000145214 DGKQ         
ENSG00000145242 EPHA5        
ENSG00000145348 TBCK         
ENSG00000145349 CAMK2D       
ENSG00000145604 SKP2         
ENSG00000145632 PLK2         
ENSG00000145675 PIK3R1       
ENSG00000145725 PPIP5K2      
ENSG00000145819 ARHGAP26     
ENSG00000145949 MYLK4        
ENSG00000146063 TRIM41       
ENSG00000146094 DOK3         
ENSG00000146216 TTBK1        
ENSG00000146243 IRAK1BP1     
ENSG00000146648 EGFR         
ENSG00000146872 TLK2         
ENSG00000146904 EPHA1        
ENSG00000147010 SH3KBP1      
ENSG00000147044 CASK         
ENSG00000147081 AKAP4        
ENSG00000147443 DOK2         
ENSG00000147613 PSKH2        
ENSG00000147853 AK3          
ENSG00000147883 CDKN2B       
ENSG00000147889 CDKN2A       
ENSG00000148053 NTRK2        
ENSG00000148057 C9orf103     
ENSG00000148660 CAMK2G       
ENSG00000149016 TUT1         
ENSG00000149091 DGKZ         
ENSG00000149269 PAK1         
ENSG00000149311 ATM          
ENSG00000149476 DAK          
ENSG00000149554 CHEK1        
ENSG00000149930 TAOK2        
ENSG00000149970 CNKSR2       
ENSG00000150457 LATS2        
ENSG00000150867 PIP4K2A      
ENSG00000151151 IPMK         
ENSG00000151239 TWF1         
ENSG00000151276 MAGI1        
ENSG00000151292 CSNK1G3      
ENSG00000151320 AKAP6        
ENSG00000151332 MBIP         
ENSG00000151414 NEK7         
ENSG00000151422 FER          
ENSG00000151491 EPS8         
ENSG00000152137 HSPB8        
ENSG00000152256 PDK1         
ENSG00000152332 UHMK1        
ENSG00000152495 CAMK4        
ENSG00000152556 PFKM         
ENSG00000152620 NADKD1       
ENSG00000152782 PANK1        
ENSG00000152953 STK32B       
ENSG00000152969 JAKMIP1      
ENSG00000153208 MERTK        
ENSG00000153721 CNKSR3       
ENSG00000153820 SPHKAP       
ENSG00000153933 DGKE         
ENSG00000154027 AK5          
ENSG00000154146 NRGN         
ENSG00000154229 PRKCA        
ENSG00000154237 LRRK1        
ENSG00000154310 TNIK         
ENSG00000154358 OBSCN        
ENSG00000154928 EPHB1        
ENSG00000155085 AKD1         
ENSG00000155111 CDK19        
ENSG00000155130 MARCKS       
ENSG00000155252 PI4K2A       
ENSG00000155530 LRGUK        
ENSG00000155629 PIK3AP1      
ENSG00000156110 ADK          
ENSG00000156136 DCK          
ENSG00000156265 C21orf7      
ENSG00000156345 CDK20        
ENSG00000156711 MAPK13       
ENSG00000156873 PHKG2        
ENSG00000156958 GALK2        
ENSG00000156970 BUB1B        
ENSG00000157106 LOC100506060 
ENSG00000157106 SMG1         
ENSG00000157353 FUK          
ENSG00000157404 KIT          
ENSG00000157540 DYRK1A       
ENSG00000157625 TAB3         
ENSG00000157654 AKAP2        
ENSG00000157680 DGKI         
ENSG00000157764 BRAF         
ENSG00000157881 PANK4        
ENSG00000158092 NCK1         
ENSG00000158458 NRG2         
ENSG00000158571 PFKFB1       
ENSG00000158828 PINK1        
ENSG00000158985 CDC42SE2     
ENSG00000159792 PSKH1        
ENSG00000159921 GNE          
ENSG00000160014 CALM1        
ENSG00000160014 CALM2        
ENSG00000160014 CALM3        
ENSG00000160145 KALRN        
ENSG00000160209 PDXK         
ENSG00000160396 HIPK4        
ENSG00000160447 PKN3         
ENSG00000160469 BRSK1        
ENSG00000160551 TAOK1        
ENSG00000160584 SIK3         
ENSG00000160602 NEK8         
ENSG00000160867 FGFR4        
ENSG00000161326 DUSP14       
ENSG00000161692 DBF4B        
ENSG00000161896 IP6K3        
ENSG00000162302 RPS6KA4      
ENSG00000162368 CMPK1        
ENSG00000162408 NOL9         
ENSG00000162409 PRKAA2       
ENSG00000162433 AK4          
ENSG00000162433 LOC100507855 
ENSG00000162434 JAK1         
ENSG00000162526 TSSK3        
ENSG00000162545 CAMK2N1      
ENSG00000162733 DDR2         
ENSG00000162878 PKDCC        
ENSG00000162889 MAPKAPK2     
ENSG00000162999 DUSP19       
