PF09287	IPR015367
PF04734	
PF07249	IPR010829
PF05932	IPR010261
PF05264	IPR007928
PF09443	IPR019011
PF05730	IPR008427
PF03859	IPR005559
PF10233	IPR019365
PF08821	IPR014925
PF08617	IPR013926
PF03879	IPR005579
PF06306	IPR010446
PF00307	IPR001715
PF06150	IPR009317
PF04752	IPR006840
PF05235	IPR007899
PF09394	IPR018990
PF02431	IPR003466
PF02797	IPR012328
PF00195	IPR001099
PF03502	IPR018013
PF05257	IPR007921
PF10448	IPR018854
PF07824	IPR013095
PF09295	IPR015374
PF03924	IPR006189
PF05226	IPR007890
PF05227	IPR007891
PF05228	IPR007892
PF03173	IPR004866
PF03174	IPR004867
PF06747	IPR010625
PF04420	IPR007514
PF08074	IPR012957
PF08073	IPR012958
PF01339	IPR000673
PF04509	IPR007597
PF03975	IPR005659
PF01739	IPR022642
PF03705	IPR022641
PF01584	IPR002545
PF09078	IPR015162
PF04344	IPR007439
PF05679	IPR008428
PF06483	IPR009470
PF08329	IPR013540
PF00187	IPR001002
PF03067	IPR004302
PF00379	IPR000618
PF01644	IPR004834
PF08407	IPR013616
PF03142	IPR004835
PF07335	IPR009939
PF05238	IPR007902
PF07548	IPR011427
PF09675	IPR014131
PF01308	IPR000604
PF03503	IPR003517
PF03504	IPR003506
PF02415	IPR003368
PF05475	IPR008444
PF00504	
PF07224	IPR010821
PF06598	IPR010568
PF06778	IPR010644
PF02962	IPR004220
PF09193	IPR015276
PF01633	IPR002573
PF04428	IPR007521
PF09129	IPR015213
PF06566	IPR010555
PF04968	IPR007051
PF05961	IPR009236
PF05846	IPR008445
PF05941	IPR010267
PF06015	IPR009257
PF05966	IPR009238
PF05989	IPR009247
PF06138	IPR009201
PF05796	IPR008446
PF06129	IPR010367
PF05803	IPR008447
PF05864	IPR008448
PF01723	IPR002635
PF03964	IPR005649
PF05387	
PF05836	IPR008450
PF00425	IPR015890
PF01264	IPR000453
PF04345	IPR007440
PF10216	IPR010220
PF07452	IPR010895
PF05535	IPR008451
PF02417	IPR003370
PF09828	IPR018634
PF00385	IPR000953
PF01393	IPR008251
PF06573	IPR009508
PF07538	IPR006637
PF09649	IPR019098
PF07347	IPR009947
PF08547	IPR013857
PF09774	IPR019171
PF02017	IPR003508
PF08134	IPR012995
PF00878	IPR000479
PF02464	IPR008136
PF02443	IPR003383
PF06022	IPR006477
PF10197	IPR019339
PF04953	
PF04487	IPR007576
PF04223	IPR006472
PF01874	IPR002736
PF03600	IPR004680
PF08218	IPR013166
PF00285	IPR002020
PF05520	IPR008452
PF03802	IPR005551
PF01111	IPR000789
PF01214	IPR000704
PF03805	IPR005553
PF04021	IPR007166
PF00637	
PF09268	IPR015348
PF01086	IPR000996
PF01394	IPR022365
PF01217	
PF05452	IPR008453
PF07062	IPR010761
PF08434	IPR013642
PF07675	IPR011628
PF03505	IPR003897
PF02487	IPR003492
PF03515	IPR003058
PF03513	IPR003063
PF01785	IPR002679
PF06597	IPR010567
PF06807	IPR010655
PF10431	IPR019489
PF02617	IPR003769
PF05602	IPR008429
PF02861	IPR004176
PF00574	IPR001907
PF10383	IPR018839
PF10234	IPR019366
